PI name,SMILES-Polymer,Tg(℃),Measurement methods
"poly({4,4'-[1,3-phenylenebis(4,1-phenylene)dioxy]dianiline}-alt-{5,5'-[oxybis(4,1-phenylene)dioxy]bis(isobenzofuran-1,3-dione)})",*c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cccc(c1)C(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)Oc1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,192.0,DSC
"poly({1,3-bis[4-(4-aminophenoxy)benzoyl]benzene}-alt-[4,4'-thiobis(p-phenyleneoxy)bis(isobenzofuran-1,3-dione)])",*c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cccc(c1)C(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)Sc1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)*,192.0,DSC
"poly({1,3-bis[4-(4-aminophenoxy)benzoyl]benzene}-alt-[5,5'-(dimethylsilanediyl)bis(isobenzofuran-1,3-dione)])",*c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cccc(c1)C(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)[Si](c1ccc2c(c1)C(=O)N(C2=O)*)(C)C,208.0,DSC
"poly{[4,4'-(naphthalene-2,6-diyl)bis(carbonyl-1,4-phenyleneoxy)dianiline]-alt-[5,5'-carbonylbis(isobenzofuran-1,3-dione)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc2c(c1)ccc(c2)C(=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,246.0,DSC
"poly(hydrazine-alt-{5,5'-[(1-methylethane-1,1-diyl)bis(1,4-phenyleneoxy)]bis(isobenzofuran-1,3-dione)})",*Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc2c(c1)C(=O)N(C2=O)N1C(=O)c2c(C1=O)cc(cc2)*)(C)C,216.7,DSC
"poly({4,4'-[(oxo)(phenyl)-lambda5-phosphanediylbis(4,1-phenyleneoxy)]dianiline}-alt-{5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)})",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)Oc1ccc(cc1)P(=O)(c1ccccc1)c1ccc(cc1)Oc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,243.0,DSC
"poly{(3,4'-oxydianiline)-alt-[3,4'-bis(4-chlorophthalimidyl)diphenyl ether]}",*C(=O)Nc1ccc(cc1)Oc1cccc(c1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*,211.0,DSC
"poly({4,4'-[1-methylethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-[3,4'-bis(4-chlorophthalimidyl)diphenyl ether])",*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)*)(C)C,207.0,DSC
"poly((4,4'-oxydianiline)-alt-{4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diylbis(1,3-dioxoisoindoline-5,2-diyl)]dibenzoic acid})",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,322.0,DSC
"poly((4,4'-oxydianiline)-per-(carbon monooxide)-per-{2,2-bis[N-(3-iodophenyl)-4-phthalimidyl)]hexafluoropropane}-per-(carbon monooxide))",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,298.0,DSC
"poly((p-phenylenediamine)-alt-{3,3'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diylbis(1,3-dioxoisoindoline-5,2-diyl)]dibenzoic acid})",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)C(=O)Nc1ccc(cc1)NC(=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,311.0,DSC
"poly{(m-phenylenediamine)-alt-[5,5'-(1,2-phenylenedioxy)bis(isobenzofuran-1,3-dione)]}",*c1cccc(c1)N1C(=O)c2c(C1=O)ccc(c2)Oc1ccccc1Oc1ccc2c(c1)C(=O)N(C2=O)*,224.0,DSC
"poly{(4,4'-oxydianiline)-alt-[5,5'-(1,2-phenylenedioxy)bis(isobenzofuran-1,3-dione)]}",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccccc1Oc1ccc2c(c1)C(=O)N(C2=O)*,212.0,DSC
"poly{[4,4'-(1,4-phenylenedioxy)dianiline]-alt-[5,5'-(1,2-phenylenedioxy)bis(isobenzofuran-1,3-dione)]}",*c1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccccc1Oc1ccc2c(c1)C(=O)N(C2=O)*,202.0,DSC
"poly{[4,4'-(1,2-phenylenedioxy)dianiline]-alt-[5,5'-(1,2-phenylenedioxy)bis(isobenzofuran-1,3-dione)]}",*c1ccc(cc1)Oc1ccccc1Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccccc1Oc1ccc2c(c1)C(=O)N(C2=O)*,193.0,DSC
"poly{[4,4'-(naphthalene-2,3-diyldioxy)dianiline]-alt-[5,5'-(1,2-phenylenedioxy)bis(isobenzofuran-1,3-dione)]}",*c1ccc(cc1)Oc1cc2ccccc2cc1Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccccc1Oc1ccc2c(c1)C(=O)N(C2=O)*,216.0,DSC
"poly{[4,4'-(biphenyl-4,4'-diyldioxy)dianiline]-alt-[5,5'-(1,2-phenylenedioxy)bis(isobenzofuran-1,3-dione)]}",*c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccccc1Oc1ccc2c(c1)C(=O)N(C2=O)*,204.0,DSC
"poly{[4,4'-(1,2-phenylenedioxy)dianiline]-alt-[5,5'-(naphthalene-2,3-diyldioxy)bis(isobenzofuran-1,3-dione)]}",*c1ccc(cc1)Oc1ccccc1Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2ccccc2cc1Oc1ccc2c(c1)C(=O)N(C2=O)*,204.0,DSC
"poly{[4,4'-(naphthalene-2,3-diyldioxy)dianiline]-alt-[5,5'-(naphthalene-2,3-diyldioxy)bis(isobenzofuran-1,3-dione)]}",*c1ccc(cc1)Oc1cc2ccccc2cc1Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2ccccc2cc1Oc1ccc2c(c1)C(=O)N(C2=O)*,222.0,DSC
"poly{(heptane-1,7-diamine)-alt-[4,4'-oxybis(phthalic anhydride)]}",*CCCCCCCN1C(=O)c2c(C1=O)ccc(c2)Oc1ccc2c(c1)C(=O)N(C2=O)*,110.0,DSC
"poly{(undecane-1,11-diamine)-alt-[4,4'-oxybis(phthalic anhydride)]}",*CCCCCCCCCCCN1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)N(C2=O)*,74.0,DSC
"poly{[4,4'-(hexafluoroisopropylidene)dianiline]-alt-[5,5'-(2,2,2-trifluoro-1-phenylethane-1,1-diyl)bis(isobenzofuran-1,3-dione)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(c(c1)C(F)(F)F)c1ccc(cc1C(F)(F)F)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(c1ccccc1)*,280.0,DSC
"poly{(p-phenylenediamine)-alt-[bis(1,3-dioxoisobenzofuran-5-yl)phenylphosphine oxide]}",*c1ccc(cc1)N1C(=O)c2c(C1=O)ccc(c2)P(=O)(c1ccc2c(c1)C(=O)N(C2=O)*)c1ccccc1,366.0,DSC
"poly{(4,4'-oxydianiline)-alt-[bis(1,3-dioxoisobenzofuran-5-yl)phenylphosphine oxide]}",*c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)P(=O)(c1ccc2c(c1)C(=O)N(C2=O)*)c1ccccc1,318.0,DSC
"poly{[5-(trifluoromethyl)-m-phenylenediamine]-alt-[bis(1,3-dioxoisobenzofuran-5-yl)phenylphosphine oxide]}",*c1cc(cc(c1)C(F)(F)F)N1C(=O)c2c(C1=O)ccc(c2)P(=O)(c1ccc2c(c1)C(=O)N(C2=O)*)c1ccccc1,317.0,DSC
"poly{(m-phenylenediamine)-alt-[bis(1,3-dioxoisobenzofuran-5-yl)phenylphosphine oxide]}",*c1cccc(c1)N1C(=O)c2c(C1=O)ccc(c2)P(=O)(c1ccc2c(c1)C(=O)N(C2=O)*)c1ccccc1,323.0,DSC
"poly({diisopropyl 2,5-bis[(3-aminophenyl)carbamoyl]terephthalate}-alt-[bis(1,3-dioxoisobenzofuran-5-yl)phenylphosphine oxide])",*c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,338.0,DSC
"poly({diisopropyl 3,3'-bis[(4-aminophenyl)carbamoyl]biphenyl-4,4'-dicarboxylate}-alt-[bis(1,3-dioxoisobenzofuran-5-yl)phenylphosphine oxide])",*c1ccc(cc1)N1C(=O)c2c(C1=O)ccc(c2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,342.0,DSC
"poly({diisopropyl 3,3'-bis[(3-aminophenyl)carbamoyl]biphenyl-4,4'-dicarboxylate}-alt-[bis(1,3-dioxoisobenzofuran-5-yl)phenylphosphine oxide])",*c1cccc(c1)N1C(=O)c2c(C1=O)ccc(c2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)*,308.0,DSC
"poly{[N,N'-bis(3-aminophenyl)-4,4'-carbonyldiphthalimide]-alt-(isophthaloyl dichloride)}",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)NC(=O)c1cccc(c1)C(=O)Nc1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)*,204.0,DSC
"poly{[4,4'-(ethylenedioxy)dianiline]-alt-[4,4'-(hexafluoroisopropylidene)bis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)OCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,260.0,DSC
"poly({4,4'-[oxybis(ethylene)dioxy]bis(aniline)}-alt-[4,4'-(hexafluoroisopropylidene)bis(phthalic anhydride)])",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)OCCOCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,180.0,DSC
"poly({4,4'-[ethylenebis(oxyethyleneoxy)]dianiline}-alt-[4,4'-(hexafluoroisopropylidene)bis(phthalic anhydride)])",FC(C(C(F)(F)F)(c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)OCCOCCOCCOc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)*)(F)F,175.0,DSC
"poly((3,4'-oxydianiline)-alt-{1,1',3,3'-tetraoxo-2,2'-[oxybis(4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)Oc1cccc(c1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,236.0,DSC
"poly((4,4'-methylenedianiline)-alt-{1,1',3,3'-tetraoxo-2,2'-[oxybis(4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,270.0,DSC
"poly((4,4'-sulfanediyldianiline)-alt-{1,1',3,3'-tetraoxo-2,2'-[oxybis(4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)Sc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,284.0,DSC
"poly([4,4'-(1,4-phenylenedioxy)dianiline]-alt-{1,1',3,3'-tetraoxo-2,2'-[oxybis(4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,260.0,DSC
"poly((4,4'-oxydianiline)-alt-{1,1,3,3'-tetraoxo-2,2'-[methylenebis(4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Cc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,251.0,DSC
"poly([4,4'-(1,4-phenylenedioxy)dianiline]-alt-{1,1,3,3'-tetraoxo-2,2'-[sulfonylbis(4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,243.0,DSC
"poly((4,4'-oxydianiline)-alt-{1,1',3,3'-tetraoxo-2,2'-[methylenebis(cyclohexane-4,1-diyl)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)C1CCC(CC1)CC1CCC(CC1)N1C(=O)c2c(C1=O)cc(cc2)*,250.0,DSC
"poly({5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)}-alt-(2-methyl-m-phenylenediamine))",*c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1C)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,335.0,DSC
"poly[(2,4,6-trimethyl-1,3-phenylenediamine)-alt-(biphenyl-3,3':4,4'-tetracarboxylic dianhydride)]",O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)c1ccc2c(c1)C(=O)N(C2=O)*,385.0,DSC
"poly{[6,6'-dichloro-5,5'-carbonylbis(isobenzofuran-1,3-dione)]-alt-(2,4,6-trimethyl-m-phenylenediamine)}",Cc1cc(C)c(c(c1N1C(=O)c2c(C1=O)cc(c(c2)Cl)C(=O)*)C)N1C(=O)c2c(C1=O)cc(c(c2)*)Cl,371.0,DSC
"poly{[6,6'-dichloro-5,5'-carbonylbis(isobenzofuran-1,3-dione)]-alt-(m-phenylenediamine)}",O=C1c2cc(C(=O)*)c(cc2C(=O)N1c1cccc(c1)N1C(=O)c2c(C1=O)cc(c(c2)*)Cl)Cl,313.0,DSC
"poly{[6,6'-dichloro-5,5'-carbonylbis(isobenzofuran-1,3-dione)]-alt-(5-tert-butyl-1,3-phenylenediamine)}",O=C1c2cc(C(=O)*)c(cc2C(=O)N1c1cc(cc(c1)C(C)(C)C)N1C(=O)c2c(C1=O)cc(c(c2)*)Cl)Cl,290.0,DSC
"poly{[6,6'-dichloro-5,5'-carbonylbis(isobenzofuran-1,3-dione)]-alt-(3,5-diaminobenzoic acid)}",OC(=O)c1cc(cc(c1)N1C(=O)c2c(C1=O)cc(c(c2)*)Cl)N1C(=O)c2c(C1=O)cc(c(c2)Cl)C(=O)*,368.0,DSC
"poly{[6,6'-dichloro-5,5'-carbonylbis(isobenzofuran-1,3-dione)]-alt-(methyl 3,5-diaminobenzoate)}",COC(=O)c1cc(cc(c1)N1C(=O)c2c(C1=O)cc(c(c2)*)Cl)N1C(=O)c2c(C1=O)cc(c(c2)Cl)C(=O)*,321.0,DSC
"poly{[6,6'-dichloro-5,5'-carbonylbis(isobenzofuran-1,3-dione)]-alt-[5-(trifluoromethyl)-m-phenylenediamine]}",O=C1c2cc(C(=O)*)c(cc2C(=O)N1c1cc(cc(c1)C(F)(F)F)N1C(=O)c2c(C1=O)cc(c(c2)*)Cl)Cl,305.0,DSC
"poly{[6,6'-dichloro-5,5'-carbonylbis(isobenzofuran-1,3-dione)]-alt-(5-chloro-m-phenylenediamine)}",Clc1cc(cc(c1)N1C(=O)c2c(C1=O)cc(c(c2)*)Cl)N1C(=O)c2c(C1=O)cc(c(c2)Cl)C(=O)*,311.0,DSC
"poly{[6,6'-dichloro-5,5'-carbonylbis(isobenzofuran-1,3-dione)]-alt-(2,5-dichloro-m-phenylenediamine)}",Clc1cc(c(cc1N1C(=O)c2c(C1=O)cc(c(c2)Cl)C(=O)*)Cl)N1C(=O)c2c(C1=O)cc(c(c2)*)Cl,367.0,DSC
"poly((m-phenylenediamine)-alt-{1,1,3,3'-tetraoxo-2,2'-[naphthalene-2,7-diylbis(oxy-4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1cccc(c1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc2c(c1)cc(cc2)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,286.0,DSC
"poly((3,4'-oxydianiline)-alt-{1,1,3,3'-tetraoxo-2,2'-[naphthalene-2,7-diylbis(oxy-4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)Oc1cccc(c1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc2c(c1)cc(cc2)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,263.0,DSC
"poly((4,4'-methylenedianiline)-alt-{1,1,3,3'-tetraoxo-2,2'-[naphthalene-2,7-diylbis(oxy-4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc2c(c1)cc(cc2)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,273.0,DSC
"poly({4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]dianiline}-alt-{1,1,3,3'-tetraoxo-2,2'-[naphthalene-2,7-diylbis(oxy-4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc2c(c1)cc(cc2)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,292.0,DSC
"poly({4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{1,1,3,3'-tetraoxo-2,2'-[naphthalene-2,7-diylbis(oxy-4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc2c(c1)cc(cc2)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,250.0,DSC
"poly({4,4'-[1-methylethane-1,1-diylbis(4,1-phenyleneoxy)]dianiline}-alt-{1,1,3,3'-tetraoxo-2,2'-[naphthalene-2,7-diylbis(oxy-4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc2c(c1)cc(cc2)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*)(C)C,250.0,DSC
"poly({4,4'-[sulfonylbis(4,1-phenyleneoxy)]dianiline}-alt-{1,1,3,3'-tetraoxo-2,2'-[naphthalene-2,7-diylbis(oxy-4,1-phenylene)]bis(isoindolin-5-carboxylic acid)})",*C(=O)Nc1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)Oc1ccc2c(c1)cc(cc2)Oc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)*,274.0,DSC
"poly{[4,4'-(9H-fluorene-9,9-diyl)dianiline]-alt-[5,5'-carbonylbis(isobenzofuran-1,3-dione)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)C1(c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)c2ccccc2-c2c1cccc2,376.0,DSC
"poly((2,2'-di-tert-butyl-4,4'-methylenedianiline)-alt-{5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)})",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1C(C)(C)C)Cc1ccc(c(c1)C(C)(C)C)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,274.0,DSC
"poly((2,2',6,6'-tetraethyl-4,4'-methylenedianiline)-alt-{5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)})",CCc1cc(Cc2cc(CC)c(c(c2)CC)N2C(=O)c3c(C2=O)cc(cc3)*)cc(c1N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*)CC,266.0,DSC
"poly((2,2'-diisopropyl-6,6'-dimethyl-4,4'-methylenedianiline)-alt-{5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)})",*c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C(C)C)Cc1cc(C)c(c(c1)C(C)C)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,276.0,DSC
"poly{[4,4'-(1-phenyl-2,2,2-trifluoroethane-1,1-diyl)dianiline]-alt-[4,4'-(hexafluoroisopropylidene)bis(phthalic anhydride)]}",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1)C(C(F)(F)F)(c1ccccc1)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,305.0,DSC
"poly([2,2'-diisopropyl-6,6'-dimethyl-4,4'-(1-phenyl-2,2,2-trifluoroethane-1,1-diyl)dianiline]-alt-{5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)})",*c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C(C)C)C(C(F)(F)F)(c1cc(C)c(c(c1)C(C)C)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*)c1ccccc1,289.0,DSC
"poly([2,2',6,6'-tetraisopropyl-4,4'-(1-phenyl-2,2,2-trifluoroethane-1,1-diyl)dianiline]-alt-{5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)})",FC(C(c1cc(C(C)C)c(c(c1)C(C)C)N1C(=O)c2c(C1=O)cc(cc2)*)(c1cc(C(C)C)c(c(c1)C(C)C)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*)c1ccccc1)(F)F,274.0,DSC
"poly([2,2'-difluoro-4,4'-(9H-fluorene-9,9-diyl)dianiline]-alt-{5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)})",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1F)C1(c2ccc(c(c2)F)N2C(=O)c3c(C2=O)cc(cc3)C(C(F)(F)F)(C(F)(F)F)*)c2ccccc2-c2c1cccc2,352.0,DSC
"poly([2,2'-diisopropyl-4,4'-(9H-fluorene-9,9-diyl)dianiline]-alt-{5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)})",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1C(C)C)C1(c2ccc(c(c2)C(C)C)N2C(=O)c3c(C2=O)cc(cc3)C(C(F)(F)F)(C(F)(F)F)*)c2ccccc2-c2c1cccc2,299.0,DSC
"poly([2,2',6,6'-tetramethyl-4,4'-(9H-fluorene-9,9-diyl)dianiline]-alt-{5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)})",*c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)C1(c2cc(C)c(c(c2)C)N2C(=O)c3c(C2=O)cc(cc3)C(C(F)(F)F)(C(F)(F)F)*)c2ccccc2-c2c1cccc2,361.0,DSC
"poly([2,2'-diisopropyl-6,6'-dimethyl-4,4'-(9H-fluorene-9,9-diyl)dianiline]-alt-{5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)})",*c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C(C)C)C1(c2cc(C)c(c(c2)C(C)C)N2C(=O)c3c(C2=O)cc(cc3)C(C(F)(F)F)(C(F)(F)F)*)c2ccccc2-c2c1cccc2,335.0,DSC
"poly((3,3'-dimethylbiphenyl-4,4'-diamine)-alt-{5,5'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]bis(isobenzofuran-1,3-dione)})",*c1ccc2c(c1)C(=O)N(C2=O)c1ccc(cc1C)c1ccc(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)*,352.0,DSC
"poly{(4,4'-sulfonyldianiline)-alt-[2,2'-hexamethylenebis(1,3-dioxoisoindoline-5-carboxylic acid)]}",*CCCCCCN1C(=O)c2c(C1=O)ccc(c2)C(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)*,198.0,DSC
